	Vibrio_ASV1	Halomonas_ASV1	Vibrio_ASV2	Psychrobium_ASV1	Pseudoalteromonas_ASV1	Vibrio_ASV3	Ruegeria_ASV1	Halodesulfovibrio_ASV1	Vibrio_ASV4	Thalassobius_ASV1	Endozoicomonas_ASV1	Nautella_ASV1	Photobacterium_ASV1	Pseudoalteromonas_ASV2	Endozoicomonas_ASV2	Roseibacillus_ASV1	Halomonas_ASV2	Endozoicomonas_ASV3	Renibacterium_ASV1	Enhydrobacter_ASV1
BS2-2180-HD-D	0.002544952	0.007081604	0.00813278	0	0.00769018	0.003762102	0.003319502	0	0	0.155242047	0.001493776	0.13604426	0.002323651	0.013886584	0.06395574	0	0.001051176	0.038174274	0.002489627	0.003319502
BS2-2415-HD-D	0.010841569	0.023959269	0.020125786	0	0.012878107	0.004941599	0.005810123	0.002036538	0	0.141269841	0.001227913	0.133273435	0.002515723	0.018209045	0.059748428	0	0.014914645	0.022072477	0	0
BS2-2433-HD-D	0	0	0	0	0	0	0	0	0	0.125332889	0	0.279460719	0	0	0	0	0	0	0	0
BS2-2474-DD-D	0.0014243	0.000458108	0.002423808	0	0.000641351	0.000916216	0.123356017	0.097701963	0.012743734	0.059020981	0	0.005414005	0.000458108	0.000533071	0.001007838	0.080268868	0.00043312	0.000741302	0.000116609	0.000241548
BS2-2474-HD-D	0	0.061054767	0.04143002	0	0	0	0	0	0	0.035243408	0	0.000608519	0	0	0.070791075	0	0	0.041024341	0	0
BS2-2475-DD-D	0	0	0	0	0	0	0.025761523	0	0.01277119	0.043451265	0	0	0	0	0	0	0	0	0	0.061737564
BS2-2475-HD-D	0	0	0	0	0	0	0	0	0	0	0	0	0.024725275	0	0.085523172	0	0	0	0	0
BS2-2479-DD-D	0.0093354	0	0.004503601	0	0	0	0	0	0	0.008296107	0	0	0.058200383	0.009444799	0	0	0	0	0	0
BS2-2479-HD-D	0.016090313	0.019269448	0.018490884	0	0.022253941	0.00447674	0.009407643	0	0	0.114838124	0.002400571	0.110491144	0.003049374	0.018490884	0.120936871	0	0.010510608	0.067735029	0.00227081	0.000259521
BS2-2483-DD-D	0.007874016	0.021225608	0.014720986	0	0.019513865	0.007189319	0.007874016	0	0	0.095857583	0.002567614	0.120335502	0.004450531	0.014549812	0.031838412	0	0.008729887	0.021567956	0.004279356	0
BS2-2500-DD-D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS2-2500-HD-D	0.015723539	0.012698467	0.019825332	0.002102169	0.005588693	0.010715934	0.001879988	0.00553742	0	0.188665379	0.001606536	0.130009742	0.002785801	0.008374494	0.05424621	0	0.001162175	0.007554135	0.003965066	0
BS2-2048-HD-D	0	0	0	0	0	0	0	0	0	0.066598009	0	0	0	0	0	0	0	0	0	0.081016135
BS2-2179-HD-D	0	0	0	0	0.127802691	0	0	0	0	0.161434978	0	0	0	0	0	0	0	0	0	0.041479821
BS2-2198-HD-O	0	0.318357187	0.00497822	0.004231487	0.243559428	0	0.015059116	0	0	0	0.000995644	0	0.069570629	0.2293715	0	0	0.031611699	0	0	0.009956441
BS2-2433-DD-D	0	0	0	0	0	0	0.087847834	0	0	0	0	0	0	0	0	0	0	0	0	0
BS2-2483-HD-D	0	0	0	0	0	0	0	0	0	0.116083916	0	0.058941059	0	0	0	0	0	0	0	0.047952048
	2.861698512	8.54470509	4.294772086	1.67624627	4.715360997	3.467448006	1.861527568	1.981672877	2.607409028	2.821928144	2.720924686	2.507221597	2.280229156	2.871265625	1.58299757	1.010682702	2.041624059	1.230275467	2.814472626	1.116174906
