""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"BLANK1-A"	4905	2101	2048	1972	1972
"BLANK2-A"	29597	15258	15187	14953	14953
"BS2-1-HH-A"	3093	1578	1556	1538	1538
"BS2-10H-A"	5991	2524	2481	2452	2452
"BS2-1566-DD-A"	60304	25994	25660	25132	25132
"BS2-1566-HD-A"	68259	28830	28169	27209	27209
"BS2-1689-DD-A"	276076	136095	135528	131561	131561
"BS2-1689-HD-A"	64073	27110	26688	25683	25683
"BS2-1842-DD-A"	42216	18306	18142	17426	17426
"BS2-1842-HD-A"	134284	64705	64145	61542	61542
"BS2-1894-HH-A"	107044	52597	52159	50983	50983
"BS2-1925-DD-A"	92561	44454	44150	42757	42757
"BS2-1925-HD-A"	13894	3574	3208	3047	3047
"BS2-2006-DD-A"	244434	122324	121674	116827	116827
"BS2-2006-HD-A"	20101	5036	4816	4574	4574
"BS2-2019-DD-A"	78800	31060	30836	29900	29900
"BS2-2019-HD-A"	36762	12459	12121	11638	11638
"BS2-2048-DD-A"	61583	24472	24017	22346	22346
"BS2-2048-HD-A"	22292	5032	4754	4518	4518
"BS2-2065-HH-A"	126578	64034	63720	62484	62484
"BS2-2076-DD-A"	56535	23151	22791	22140	22140
"BS2-2076-HD-A"	42933	20107	19981	19591	19591
"BS2-2077-DD-A"	161485	81059	80592	77894	77894
"BS2-2077-HD-A"	48496	19074	18682	17907	17907
"BS2-2078-DD-A"	48751	20381	19319	18828	18828
"BS2-2078-HH-A"	183364	91717	91201	88722	88722
"BS2-2079-DD-A"	77752	38448	38093	37065	37065
"BS2-2079-HD-A"	39743	13528	13112	12698	12698
"BS2-2080-DD-A"	431071	212083	211186	204531	204531
"BS2-2080-HD-A"	64244	32350	32267	31949	31949
"BS2-2091-DD-A"	61114	31398	31251	30763	30763
"BS2-2091-HD-A"	66557	28901	28504	28059	28059
"BS2-2149-DD-A"	164509	84142	83789	82360	82360
"BS2-2149-HD-A"	124177	61254	60797	59018	59018
"BS2-2150-HH-A"	7399	1971	1920	1828	1828
"BS2-2155-DD-A"	317348	156939	156267	151800	151800
"BS2-2155-HD-A"	70705	35406	35167	34465	34465
"BS2-2161-DD-A"	251183	102501	102144	99331	99331
"BS2-2179-DD-A"	753876	380107	377363	354287	354287
"BS2-2179-HD-A"	315889	154796	154128	150131	150131
"BS2-2180-DD-A"	122155	56499	55702	53689	53689
"BS2-2180-HD-A"	100220	52736	52519	52177	52177
"BS2-2198-DD-A"	66311	31838	31425	31052	31052
"BS2-2198-HD-A"	37077	16582	16328	16085	16085
"BS2-2415-DD-A"	90411	46300	45976	44755	44755
"BS2-2415-HD-A"	43183	19878	19548	19179	19179
"BS2-2432-DD-A"	179775	94457	94179	93644	93644
"BS2-2432-HD-A"	157954	76920	76284	74883	74883
"BS2-2433-DD-A"	96701	49506	49294	47834	47834
"BS2-2433-HD-A"	55425	25749	25461	25096	25096
"BS2-2474-DD-A"	113358	50085	49306	45917	45917
"BS2-2474-HD-A"	16548	3233	3025	2849	2849
"BS2-2482-DD-A"	444970	230389	229587	213454	213454
"BS2-2482-HD-A"	53993	17982	17504	16048	16048
"BS2-2483-HD-A"	2608	1159	1136	1124	1124
"BS2-3-HH-A"	22375	11884	11728	11511	11511
"BS2-4H-A"	10507	3369	3234	3117	3117
"BS2-5-HH-A"	6167	3045	2999	2981	2981
"BS2-6H-A"	6099	1713	1623	1564	1564
"BS2-7H-A"	8120	3279	3188	3134	3134
"BS2-8H-A"	11529	3098	2952	2901	2901
"BS2-9H-A"	10540	3663	3560	3422	3422
