	Other_n=716	Roseibacillus_ASV1	Enhydrobacter_ASV1	Halomonas_ASV2	Halomonas_ASV1	Endozoicomonas_ASV3	Endozoicomonas_ASV2	Endozoicomonas_ASV1	Vibrio_ASV4	Vibrio_ASV3	Vibrio_ASV2	Vibrio_ASV1	Photobacterium_ASV1	Psychrobium_ASV1	Pseudoalteromonas_ASV2	Pseudoalteromonas_ASV1	Thalassobius_ASV1	Ruegeria_ASV1	Nautella_ASV1	Halodesulfovibrio_ASV1	Renibacterium_ASV1
BS2-1566-DD-A	0.782890007	0.024802301	0.073687994	0.001294033	0	0.018907261	0.024658519	0.003378864	0	0	0	0	0	0	0	0	0	0	0	0	0.070381021
BS2-1566-HD-A	0.876880583	0	0.003702398	0.001351669	0.001880583	0.003114716	0.007287259	0.003408557	0.016690174	0.018982134	0.020627645	0.006464504	0.003349788	0	0	0	0	0.011459803	0	0.002762106	0.022038082
BS2-1689-DD-A	0.422987139	0.076594433	0	0.000550564	0.000726744	0.002400458	0.003468552	0.004052149	0.159002819	0.051775018	0.147055585	0	0.000671688	0	0	0	0	0.000825846	0	0.127818887	0.00207012
BS2-1689-HD-A	0.841818182	0	0.026942149	0	0.005867769	0.01231405	0.003305785	0.019834711	0	0.019669421	0.023471074	0.004132231	0.022727273	0.000743802	0.006033058	0	0	0	0	0.010495868	0.002644628
BS2-1842-DD-A	0.716669505	0.017537885	0.001362166	0	0	0	0	0.003745956	0.035586583	0.034139281	0.05950962	0	0.011493274	0	0.007236506	0	0.030137919	0.028435212	0.012770305	0.032010897	0.00936489
BS2-1842-HD-A	0.522513465	0	0.001196888	0	0.001292639	0	0	0.001196888	0	0.357701975	0.053285458	0.004117295	0.008928785	0	0	0	0.000861759	0.046487133	0	0.000167564	0.00225015
BS2-1925-DD-A	0.304038358	0.011376497	0.000893442	0.000893442	0.00550956	0	0.001965573	0.194502353	0.173059741	0.094049675	0.1276431	0	0.003246173	0	0	0	0	0.00148907	0	0.068943951	0.012389064
BS2-1925-HD-A	0.662808642	0.00308642	0	0.015432099	0	0.029320988	0.064814815	0	0	0.097993827	0.070216049	0	0	0	0	0	0	0	0	0	0.05632716
BS2-2006-DD-A	0.864043767	0.00126586	0	0.000567454	0.000582004	0	0	0.002328018	0.003128274	0.000931207	0.004743336	0	0.000378303	0	0.000829356	0	0	0.117026539	0.000916657	0.003259225	0
BS2-2006-HD-A	0.799114743	0	0	0	0.004766769	0.014300306	0	0.026217228	0.022131427	0.038474634	0.037793667	0	0.012938372	0	0	0	0	0	0	0.010214505	0.034048349
