""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"BS2-1566-DD-D"	36122	31423	30169	28008	28008
"BS2-1566-HD-D"	52969	47942	47200	46923	46923
"BS2-1689-DD-D"	13036	10905	10764	10752	10752
"BS2-1689-HD-D"	28451	11773	8966	8926	8926
"BS2-1842-HD-D"	133035	113825	113089	111648	111648
"BS2-1925-HD-D"	23966	20668	20232	19657	19657
"BS2-2006-DD-D"	57843	35955	30356	25064	25064
"BS2-2006-HD-D"	35861	15883	15026	14950	14950
"BS2-2019-HD-D"	72352	53330	52818	51865	51865
"BS2-2048-DD-D"	106372	50275	40025	37249	37249
"BS2-2065-DD-D"	20342	12576	10795	10439	10439
"BS2-2065-HD-D"	30571	27925	27495	27329	27329
"BS2-2076-HD-D"	46298	29073	25385	23261	23261
"BS2-2077-DD-D"	385029	368113	367613	352222	352222
"BS2-2078-HD-D"	30931	19451	17430	17262	17262
"BS2-2079-DD-D"	68527	55817	55023	54783	54783
"BS2-2079-HD-D"	56191	28583	21237	19187	19187
"BS2-2091-DD-D"	78115	63637	61560	60627	60627
"BS2-2091-HD-D"	8873	5261	4662	4653	4653
"BS2-2149-HD-D"	163930	134386	132843	132211	132211
"BS2-2155-DD-D"	156559	132979	129285	126885	126885
"BS2-2155-HD-D"	65632	18520	7570	6286	6286
"BS2-2180-DD-D"	147735	133202	131707	130258	130258
"BS2-2180-HD-D"	43075	35309	33591	32822	32822
"BS2-2407-HD-D"	44467	36077	35328	35165	35165
"BS2-2415-HD-D"	84694	66912	63294	61448	61448
"BS2-2432-HD-D"	25135	13324	13129	12113	12113
"BS2-2433-HD-D"	16408	14218	14088	14058	14058
"BS2-2453-HD-D"	38124	34830	34580	33809	33809
"BS2-2460-HD-D"	32121	27816	27253	26785	26785
"BS2-2464-DD-D"	66284	48923	44329	39310	39310
"BS2-2474-DD-D"	206019	185030	181660	169598	169598
"BS2-2474-HD-D"	93771	58441	56253	55721	55721
"BS2-2475-DD-D"	111032	102434	101651	100977	100977
"BS2-2475-HD-D"	33107	19744	19251	19172	19172
"BS2-2478-HD-D"	70965	27755	11509	9294	9294
"BS2-2479-DD-D"	123507	88166	87152	86448	86448
"BS2-2479-HD-D"	80642	40120	27676	25466	25466
"BS2-2480-DD-D"	128578	93858	88970	87510	87510
"BS2-2480-HD-D"	67470	42087	35697	34947	34947
"BS2-2483-DD-D"	31582	15095	10196	8341	8341
"BS2-2499-HD-D"	141693	123403	121442	118824	118824
"BS2-2500-DD-D"	80516	75138	74985	74348	74348
"BS2-2500-HD-D"	125131	109533	107880	106225	106225
"BS2-2652-DD-D"	178982	165189	162746	160052	160052
"BS2-2652-HD-D"	26645	7983	7789	7778	7778
"BS2-2661-DD-D"	4582	4391	4364	4364	4364
"BS2-2661-HD-D"	27926	23987	23838	23136	23136
"BS2-2662-HH-D"	5387	4647	4514	4512	4512
"BS2-2673-HH-D"	63036	43357	39415	38660	38660
"BS2-2674-DD-D"	32339	30084	29920	29833	29833
"BS2-2674-HD-D"	12873	6199	5917	5904	5904
"BS2-2675-HD-D"	110929	97955	96322	95635	95635
"BS2-2683-HH-D"	35059	21596	18266	17287	17287
"BS2-2685-HD-D"	4026	3548	3512	3508	3508
"BS2-2693-HD-D"	88069	76693	75960	75421	75421
"BS2-2694-HH-D"	109713	96376	95162	93702	93702
