Sample	HealthState	Treatment	Month	Copies_kor
BS2_2019_HD_O	HD	probiotic bag	October	0.0669
BS2_2048_DD_O	DD	control bag	October	0.6944
BS2_2048_HD_O	HD	control bag	October	0.1312
BS2_2065_HH_O	HH	none	October	0
BS2_2076_DD_O	DD	control bag	October	0.0633
BS2_2076_HD_O	HD	control bag	October	0.011
BS2_2077_DD_O	DD	probiotic paste	October	5.2381
BS2_2077_HD_O	HD	probiotic paste	October	1
BS2_2078_DD_O	DD	none	October	2.7778
BS2_2078_HD_O	HD	none	October	0.6296
BS2_2079_DD_O	DD	probiotic paste	October	0
BS2_2079_HD_O	HD	probiotic paste	October	0.0682
BS2_2080_DD_O	DD	control paste	October	2.381
BS2_2080_HD_O	HD	control paste	October	0
BS2_2091_DD_O	DD	control paste	October	0.0939
BS2_2091_HD_O	HD	control paste	October	0
BS2_2149_DD_O	DD	probiotic paste	October	0
BS2_2149_HD_O	HD	probiotic paste	October	0.0524
BS2_2150_HH_O	HH	none	October	0
BS2_2155_DD_O	DD	control paste	October	0
BS2_2155_HD_O	HD	control paste	October	0
BS2_2179_DD_O	DD	control paste	October	0
BS2_2179_HD_O	HD	control paste	October	0
BS2_2180_DD_O	DD	control bag	October	2.1053
BS2_2180_HD_O	HD	control bag	October	0.1667
BS2_2198_DD_O	DD	control bag	October	3.0769
BS2_2198_HD_O	HD	control bag	October	0.5263
BS2_2407_DD_O	DD	control bag	October	5.6667
BS2_2407_HD_O	HD	control bag	October	0.4348
BS2_2415_DD_O	DD	probiotic bag	October	0
BS2_2415_HD_O	HD	probiotic bag	October	0.202
BS2_2432_HH_O	HH	none	October	0.5037
BS2_2433_DD_O	DD	probiotic paste	October	0.3472
BS2_2433_HD_O	HD	probiotic paste	October	0
BS2_2453_DD_O	DD	probiotic bag	October	2.7778
BS2_2453_HD_O	HD	probiotic bag	October	0.0897
BS2_2460_DD_O	DD	control bag	October	0.8
BS2_2460_HD_O	HD	control bag	October	0
BS2_2464_DD_O	DD	probiotic paste	October	0.7143
BS2_2464_HD_O	HD	probiotic paste	October	0.0152
BS2_2474_DD_O	DD	none	October	0.0152
BS2_2474_DD_O	DD	none	October	0
BS2_2474_HD_O	HD	none	October	0
BS2_2474_HD_O	HD	none	October	0.03255
BS2_2475_DD_O	DD	control bag	October	0.1616
BS2_2475_HD_O	HD	control bag	October	0.2555
BS2_2478_DD_O	DD	control paste	October	0
BS2_2478_HD_O	HD	control paste	October	0.2469
BS2_2479_DD_O	DD	control bag	October	0
BS2_2479_HD_O	HD	control bag	October	1.1765
BS2_2480_HD_O	HD	control paste	October	1.1429
BS2_2482_DD_O	DD	none	October	0
BS2_2482_HD_O	HD	none	October	0.1118
BS2_2483_DD_O	DD	none	October	0.39685
BS2_2483_HD_O	HD	none	October	0.1606
BS2_2499_DD_O	DD	control paste	October	0.7692
BS2_2499_HD_O	HD	control paste	October	0.2462
BS2_2500_DD_O	DD	control paste	October	3.7879
BS2_2500_HD_O	HD	control paste	October	0.137
BS2_2662_HH_O	HH	none	October	0.1003
BS2_2672_HH_O	HH	none	October	0.3472
BS2_2673_HH_O	HH	none	October	0.2217
BS2_2675_DD_O	DD	none	October	0.241
BS2_2675_HD_O	HD	none	October	0.3774
BS2_2683_HH_O	HH	none	October	0.4918
BS2_2685_DD_O	DD	none	October	0
BS2_2685_HD_O	HD	none	October	0.4082
BS2_2694_HH_O	HH	none	October	0.1961
BS2_3_HH_O	HH	none	October	0.404
BS2_4_HH_O	HH	none	October	0
BS2_5_HH_O	HH	none	October	0.0896
BS2_6_HH_O	HH	none	October	0.0892
BS2_7_HH_O	HH	none	October	0.0554
BS2_8_HH_O	HH	none	October	0.0252
BS2_9_HH_O	HH	none	October	0.0707
