Sample	HealthState	Treatment	Month	Copies_kor	ASV1
BS2_2499_DD_O	DD	control paste	October	0.7692	0.01486555
BS2_2499_HD_O	HD	control paste	October	0.2462	0
BS2_2500_DD_O	DD	control paste	October	3.7879	0
BS2_2500_HD_O	HD	control paste	October	0.137	0.091673755
BS2_2662_HH_O	HH	none	October	0.1003	0.149001536
BS2_2672_HH_O	HH	none	October	0.3472	0.121002932
BS2_2673_HH_O	HH	none	October	0.2217	0.042089985
BS2_2675_DD_O	DD	none	October	0.241	0.113099125
BS2_2675_HD_O	HD	none	October	0.3774	0.350877193
BS2_2683_HH_O	HH	none	October	0.4918	0.121212121
BS2_2685_DD_O	DD	none	October	0	0.122297297
BS2_2685_HD_O	HD	none	October	0.4082	0.06966283
BS2_2694_HH_O	HH	none	October	0.1961	0
BS2_3_HH_O	HH	none	October	0.404	0
BS2_4_HH_O	HH	none	October	0	0
BS2_5_HH_O	HH	none	October	0.0896	0
BS2_6_HH_O	HH	none	October	0.0892	0
BS2_7_HH_O	HH	none	October	0.0554	0
BS2_8_HH_O	HH	none	October	0.0252	0.037321625
BS2_9_HH_O	HH	none	October	0.0707	0
BS2_1566_DD_J	DD	probiotic paste	January	0.2785	0.0110252
BS2_1566_HD_J	HD	probiotic paste	January	2.8464	0
BS2_1689_DD_J	DD	probiotic bag	January	5.1572	0
BS2_1689_HD_J	HD	probiotic bag	January	0.381	0
BS2_1842_HD_J	HD	probiotic bag	January	0.3054	0
BS2_1925_HD_J	HD	probiotic bag	January	1.0829	0
BS2_2006_DD_J	DD	probiotic paste	January	0.8023	0.01675521
BS2_2006_HD_J	HD	probiotic paste	January	0.2095	0
BS2_2019_HD_J	HD	probiotic bag	January	11.4667	0
BS2_2048_DD_J	HD	control bag	January	0.7941	0.012097839
BS2_2065_DD_J	HD	none	January	0.7692	0.008336005
BS2_2065_HD_J	HD	control bag	January	23.3333	0.011421267
BS2_2076_HD_J	DD	probiotic paste	January	2.809	0.022367488
BS2_2077_DD_J	DD	probiotic paste	January	1.6556	0
BS2_2078_HD_J	DD	probiotic paste	January	2.0405	0
BS2_2079_DD_J	HD	probiotic paste	January	0.2879	0.010015587
BS2_2079_HD_J	DD	control paste	January	0.2466	0.026790547
BS2_2091_DD_J	HD	control paste	January	0.3419	0.007411455
BS2_2091_HD_J	DD	probiotic paste	January	23.3333	0
BS2_2149_HD_J	HD	none	January	1.4815	0.006093544
BS2_2155_DD_J	HD	control paste	January	9.7701	0.010274028
BS2_2155_HD_J	DD	control paste	January	0.1975	0.027101419
BS2_2180_DD_J	HD	control bag	January	4.5977	0.049840372
BS2_2180_HD_J	HD	control bag	January	0.362	0.007715364
BS2_2415_HD_J	HD	none	January	0.1422	0.012993684
BS2_2432_HD_J	DD	probiotic paste	January	25.6522	0
BS2_2433_HD_J	HD	probiotic bag	January	2.1389	0
BS2_2453_HD_J	HD	control bag	January	1.3671	0
BS2_2460_HD_J	DD	probiotic paste	January	1.5385	0.00950826
BS2_2464_DD_J	DD	none	January	0.2161	0.021251932
BS2_2474_DD_J	HD	none	January	1.1473	0.00065284
BS2_2474_HD_J	DD	control bag	January	0.3598	0
BS2_2475_DD_J	HD	control bag	January	5.8559	0
BS2_2475_HD_J	DD	control paste	January	0.1855	0
BS2_2478_HD_J	DD	control bag	January	0.2324	0.01160028
BS2_2479_DD_J	HD	control bag	January	0.7819	0
BS2_2479_HD_J	DD	control paste	January	0.995	0.022230864
BS2_2480_DD_J	HD	control paste	January	2.0984	0.01505637
BS2_2480_HD_J	DD	none	January	0.7642	0.012357671
BS2_2483_DD_J	HD	none	January	0.8189	0.019661481
BS2_2499_HD_J	DD	control paste	January	0.2778	0.009236319
BS2_2500_DD_J	HD	control paste	January	0.3042	0
BS2_2500_HD_J	DD	probiotic paste	January	1.0611	0.005656302
BS2_2652_DD_J	HD	probiotic paste	January	3.677	0.001354413
BS2_2652_HD_J	DD	none	January	0.5997	0.001348921
BS2_2661_DD_J	HD	none	January	1.8391	0
BS2_2661_HD_J	HH	none	January	1.4146	0
BS2_2662_HH_J	HH	none	January	1.1392	0
BS2_2673_HH_J	DD	control paste	January	0.6213	0.004879371
BS2_2674_DD_J	HD	control paste	January	27.619	0
BS2_2674_HD_J	HD	none	January	0.3126	0
BS2_2675_HD_J	HH	none	January	1.3054	0.033387607
BS2_2683_HH_J	HD	none	January	0.4284	0.041933261
BS2_2685_HD_J	HD	none	January	0.7709	0
BS2_2693_HD_J	HH	none	January	0.3553	0.048431265
BS2_2694_HH_J	HH	none	October	0.6245	0.016008871
