""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"blank-pb1"	1666	825	536	490	490
"blank-pb2"	617	200	156	123	123
"blank-pb3"	661	166	138	116	116
"BS3-2041-DD-A"	14446	13742	13331	12723	12723
"BS3-2041-DD-B"	24552	22775	22237	20979	20979
"BS3-2041-HD-A"	6703	4879	4342	4157	4157
"BS3-2041-HD-B"	14610	12745	12361	12005	12005
"BS3-2116-DD-A"	3005	2770	2584	2336	2336
"BS3-2264-DD-A"	5617	4396	3611	3106	3106
"BS3-2264-DD-B"	33388	31419	30752	29380	29380
"BS3-2264-HD-A"	2072	1521	1314	1153	1153
"BS3-2264-HD-B"	5552	3887	3369	3178	3178
"BS3-2265-DD-B"	18410	15913	15366	14331	14331
"BS3-2265-HD-B"	3171	3087	2739	2529	2529
"BS3-2266-DD-A"	20092	16561	15441	12636	12636
"BS3-2266-DD-B"	47553	45129	43924	39786	39786
"BS3-2266-HD-A"	5353	3564	3355	3130	3130
"BS3-2266-HD-B"	8178	6091	5659	5269	5269
"BS3-2267-HH-B"	3987	2601	2417	2201	2201
"BS3-2268-DD-A"	14415	11725	11264	10627	10627
"BS3-2268-DD-B"	22237	20682	20021	18468	18468
"BS3-2268-HD-A"	4525	3301	2768	2536	2536
"BS3-2268-HD-B"	5831	3473	2879	2705	2705
"BS3-2362-DD-B"	38553	36835	35306	30322	30322
"BS3-2362-HD-A"	5080	4226	3842	3525	3525
"BS3-2362-HD-B"	11276	10067	9693	9406	9406
"BS3-2363-DD-A"	8368	6838	6305	5741	5741
"BS3-2363-HD-A"	4170	2962	2577	1941	1941
"BS3-2363-HH-B"	4489	2994	2762	2553	2553
"BS3-2364-DD-A"	3198	2017	1860	1692	1692
"BS3-2364-DD-B"	49606	45360	44504	41757	41757
"BS3-2364-HD-A"	3007	2333	2050	1844	1844
"BS3-2364-HD-B"	19442	17958	17542	16361	16361
"BS3-2365-DD-A"	26682	25026	23825	20257	20257
"BS3-2365-DD-B"	5990	4156	3699	3313	3313
"BS3-2365-HD-B"	48532	45885	44032	36435	36435
"BS3-2366-DD-A"	5892	3712	3347	3178	3178
"BS3-2366-DD-B"	20917	19454	18599	16952	16952
"BS3-2366-HD-A"	18526	17163	16576	16164	16164
"BS3-2366-HD-B"	9058	7873	7461	7009	7009
"BS3-2429-DD-A"	7383	5999	5356	4922	4922
"BS3-2429-DD-B"	35651	33303	32774	30267	30267
"BS3-2429-HD-A"	9918	8788	8153	7633	7633
"BS3-2429-HD-B"	12203	10224	9985	8212	8212
"BS3-2451-DD-A"	2581	1972	1764	1515	1515
"BS3-2451-DD-B"	23549	21202	19969	17283	17283
"BS3-2451-HD-A"	5167	3964	3624	3306	3306
"BS3-2451-HD-B"	6386	5025	4443	4103	4103
"BS3-2503-HH-A"	28822	27201	26872	26133	26133
"BS3-2503-HH-B"	34328	32881	32658	31805	31805
"BS3-2504-HH-B"	14172	12720	12231	11590	11590
"BS3-2505-DD-B"	14642	13267	12468	10378	10378
"BS3-2505-HD-B"	5491	4012	3503	3305	3305
"BS3-2506-DD-A"	4103	2807	2465	2293	2293
"BS3-2506-DD-AA"	2137	1726	1616	1459	1459
"BS3-2506-DD-B"	7889	5461	4868	4540	4540
"BS3-2506-HD-A"	3291	2201	1937	1844	1844
"BS3-2506-HD-AA"	1611	1286	1076	1031	1031
"BS3-2506-HD-B"	6008	4513	4001	3751	3751
"BS3-2507-DD-A"	8842	6812	6547	6088	6088
"BS3-2507-DD-B"	36594	34241	33145	30199	30199
"BS3-2507-HD-A"	8191	7038	6653	6226	6226
"BS3-2507-HD-B"	9536	7888	7141	6807	6807
"BS3-2512-DD-A"	5642	4808	4421	3711	3711
"BS3-2512-HD-A"	2705	1810	1672	1557	1557
"BS3-2512-HH-B"	12864	12005	11466	11092	11092
"BS3-2513-DD-A"	22395	20735	19741	16838	16838
"BS3-2513-DD-B"	49947	47309	45695	38588	38588
"BS3-2513-HD-A"	8151	6463	5709	4729	4729
"BS3-2513-HD-B"	10898	9283	8750	8162	8162
"BS3-2516-DD-A"	3648	2965	2806	2544	2544
"BS3-2516-DD-B"	18195	17373	17113	16588	16588
"BS3-2516-HD-A"	7256	5497	4938	4571	4571
"BS3-2516-HD-B"	9667	7846	7480	6980	6980
"BS3-2517-HH-A"	5971	4255	3822	3373	3373
"BS3-2517-HH-B"	3832	2806	2686	2583	2583
"BS3-2549-DD-A"	13831	11992	11536	10719	10719
"BS3-2549-HD-A"	7992	6408	5967	5659	5659
"BS3-2549-HH-B"	22306	21019	20685	20098	20098
"BS3-2562-DD-A"	5715	4592	4107	3484	3484
"BS3-2564-HH-A"	5870	4151	3681	3477	3477
"BS3-2564-HH-B"	3748	2798	2523	2365	2365
"BS3-2565-HH-A"	6153	4127	3716	3503	3503
"BS3-2565-HH-B"	2053	1592	1501	1436	1436
"BS3-2568-DD-A"	15214	12274	11607	10474	10474
"BS3-2568-DD-B"	40309	37790	36403	31828	31828
"BS3-2568-HD-A"	9632	8265	7909	7665	7665
"BS3-2568-HD-B"	8041	6822	6504	6062	6062
"BS3-2569-DD-A"	13078	11829	11412	10546	10546
"BS3-2569-DD-B"	14163	12703	11926	10580	10580
"BS3-2569-HD-A"	3267	2715	2488	2234	2234
"BS3-2569-HD-B"	3066	1944	1706	1564	1564
"BS3-2581-DD-B"	19834	18538	17567	14841	14841
"BS3-2581-HD-A"	11429	9459	8813	7928	7928
"BS3-2581-HD-B"	8537	6209	5511	5239	5239
"BS3-2615-H-A"	7306	5947	5197	4733	4733
"BS3-2615-H-B"	4775	4032	3476	3339	3339
"BS3-2628-H-A"	7521	4843	4609	4171	4171
"BS3-2628-H-B"	5429	4038	3635	3391	3391
"BS3-2629-DD-A"	5969	5414	4906	4133	4133
"BS3-2629-DD-B"	49097	46164	45571	43454	43454
"BS3-2629-HD-B"	27708	26043	25674	24714	24714
"BS3-2631-H-A"	31503	28792	28158	26461	26461
"BS3-2631-H-B"	25623	23742	23362	22640	22640
"BS3-2634-DD-A"	3337	2518	2225	2024	2024
"BS3-2634-DD-B"	40627	38427	36528	29280	29280
"BS3-2634-HD-A"	4597	3238	2702	2556	2556
"BS3-2634-HD-B"	6011	4439	3895	3698	3698
"BS3-2635-DD-A"	7018	6701	5779	4460	4460
"BS3-2635-DD-B"	18399	16886	15978	13926	13926
"BS3-2635-HD-A"	3716	2658	2531	2403	2403
"BS3-2635-HD-B"	10229	6840	6110	5759	5759
"BS3-2688-DD-A"	30919	29209	27756	23100	23100
"BS3-2688-DD-B"	21241	19852	19258	17513	17513
"BS3-2688-HD-A"	11502	9651	8687	7492	7492
"BS3-2688-HD-B"	27575	25476	24567	22328	22328
"BS3-2697-H-A"	4540	2578	2183	2008	2008
"BS3-2697-H-B"	7189	5909	5197	4883	4883
"BS3-2698-H-A"	6665	4144	3577	3269	3269
"BS3-2698-H-B"	38229	36792	36552	36067	36067
"BS3-2753-DD-A"	35680	33425	32481	28705	28705
"BS3-2753-DD-B"	54771	52025	50271	41983	41983
"BS3-2753-HD-A"	10182	8366	7763	7249	7249
"BS3-2753-HD-B"	15255	14048	13652	13069	13069
"BS3-2769-DD-A"	41591	35344	34710	31982	31982
"BS3-2769-H-B"	14497	12425	11809	11121	11121
"BS3-2769-HD-A"	5161	3490	3124	2935	2935
"BS3-2799-DD-A"	45730	43887	43089	39658	39658
"BS3-2799-DD-B"	42071	39656	39188	37234	37234
"BS3-2799-HD-A"	35086	34268	33905	32592	32592
"BS3-2799-HD-B"	3157	2333	2008	1846	1846
"BS3-2832-HH-A"	5179	3179	3151	3105	3105
"BS3-2832-HH-B"	8267	6265	5829	5512	5512
"BS3-2848-HH-A"	3255	1973	1725	1562	1562
"BS3-2880-DD-A"	21493	19356	17733	13715	13715
"BS3-2880-HD-A"	6733	5242	4754	4464	4464
"BS3-2896-HH-A"	5582	4356	3808	3573	3573
"BS3-2897-HH-A"	8143	3791	3680	3616	3616
"BS3-2899-HH-A"	5217	3867	3411	3226	3226
